date;value
29-08-2019;100
30-08-2019;100,0186078
31-08-2019;100,0372155
01-09-2019;100,0556332
02-09-2019;100,0740508
03-09-2019;100,0924585
04-09-2019;100,1108762
05-09-2019;100,1292939
06-09-2019;100,1477115
07-09-2019;100,1661192
08-09-2019;100,1845369
09-09-2019;100,2029546
10-09-2019;100,2126586
11-09-2019;100,2310663
12-09-2019;100,2494839
13-09-2019;100,2678916
14-09-2019;100,2862993
15-09-2019;100,3047169
16-09-2019;100,307198
17-09-2019;100,3281467
18-09-2019;100,3490854
19-09-2019;100,3700342
20-09-2019;100,3909729
21-09-2019;100,4119116
22-09-2019;100,4328603
23-09-2019;100,4537991
24-09-2019;100,4747378
25-09-2019;100,4956765
26-09-2019;100,5166152
27-09-2019;100,5375539
28-09-2019;100,5584927
29-09-2019;100,5794314
30-09-2019;100,6015906
01-10-2019;100,6155664
02-10-2019;100,6370654
03-10-2019;100,6585544
04-10-2019;100,6800433
05-10-2019;100,7015423
06-10-2019;100,7230312
07-10-2019;100,7445102
08-10-2019;100,7659991
09-10-2019;100,7853072
10-10-2019;100,8021542
11-10-2019;100,8190012
12-10-2019;100,8355081
13-10-2019;100,852025
14-10-2019;100,8531654
15-10-2019;100,8743843
16-10-2019;100,8924318
17-10-2019;100,9135706
18-10-2019;100,9346494
19-10-2019;100,9557382
20-10-2019;100,9768269
21-10-2019;100,9979157
22-10-2019;101,0190045
23-10-2019;101,0400933
24-10-2019;101,0558499
25-10-2019;101,0602917
26-10-2019;101,0809003
27-10-2019;101,1015189
28-10-2019;101,1150445
29-10-2019;101,1322117
30-10-2019;101,1524301
31-10-2019;101,1719883
01-11-2019;101,1904659
02-11-2019;101,2116648
03-11-2019;101,2318232
04-11-2019;101,2519816
05-11-2019;101,2731704
06-11-2019;101,2933288
07-11-2019;101,3134872
08-11-2019;101,3336456
09-11-2019;101,353794
10-11-2019;101,3739524
11-11-2019;101,3941108
12-11-2019;101,4142592
13-11-2019;101,4344176
14-11-2019;101,4654705
15-11-2019;101,4847085
16-11-2019;101,504987
17-11-2019;101,5253655
18-11-2019;101,5457139
19-11-2019;101,5660624
20-11-2019;101,5864209
21-11-2019;101,6067694
22-11-2019;101,6123417
23-11-2019;101,6326902
24-11-2019;101,6530387
25-11-2019;101,6733971
26-11-2019;101,6820207
27-11-2019;101,7027294
28-11-2019;101,7220074
29-11-2019;101,7389544
30-11-2019;101,7670462
01-12-2019;101,7947577
02-12-2019;101,8232296
03-12-2019;101,8509211
04-12-2019;101,8800232
05-12-2019;101,9077148
06-12-2019;101,9354063
07-12-2019;101,9630978
08-12-2019;101,9907894
09-12-2019;102,0185809
10-12-2019;102,083538
11-12-2019;102,1044467
12-12-2019;102,1325284
13-12-2019;102,1565684
14-12-2019;102,1805984
15-12-2019;102,2046184
16-12-2019;102,2269477
17-12-2019;102,2499173
18-12-2019;102,2728969
19-12-2019;102,2966668
20-12-2019;102,3204967
21-12-2019;102,3434463
22-12-2019;102,3663958
23-12-2019;102,3919165
24-12-2019;102,4158364
25-12-2019;102,438786
26-12-2019;102,4615855
27-12-2019;102,4861757
28-12-2019;102,5101757
29-12-2019;102,3614138
30-12-2019;102,3798615
31-12-2019;102,3974188
01-01-2020;102,4149861
02-01-2020;102,4301924
03-01-2020;102,4536622
04-01-2020;102,4731203
05-01-2020;102,4925884
06-01-2020;102,5140373
07-01-2020;102,5334154
08-01-2020;102,5530936
09-01-2020;102,5715213
10-01-2020;102,5917397
11-01-2020;102,6119581
12-01-2020;102,6321766
13-01-2020;102,6528852
14-01-2020;102,6731036
15-01-2020;102,693322
16-01-2020;102,7135405
17-01-2020;102,7314779
18-01-2020;102,7524767
19-01-2020;102,7734754
20-01-2020;102,7922332
21-01-2020;102,80854
22-01-2020;102,8272578
23-01-2020;102,8461257
24-01-2020;102,8697455
25-01-2020;102,8908743
26-01-2020;102,9120632
27-01-2020;102,933262
28-01-2020;102,9533103
29-01-2020;102,9730886
30-01-2020;102,9913762
31-01-2020;103,0127951
01-02-2020;103,034124
02-02-2020;103,0554829
03-02-2020;103,077252
04-02-2020;103,0986009
05-02-2020;103,1200698
06-02-2020;103,1411286
07-02-2020;103,1631378
08-02-2020;103,1847768
09-02-2020;103,2064158
10-02-2020;103,2275446
11-02-2020;103,2498739
12-02-2020;103,2722132
13-02-2020;103,2945425
14-02-2020;103,3168718
15-02-2020;103,3392511
16-02-2020;103,3616205
17-02-2020;103,3808985
18-02-2020;103,4034079
19-02-2020;103,4259072
20-02-2020;103,4484166
21-02-2020;103,470916
22-02-2020;103,4934154
23-02-2020;103,5159147
24-02-2020;103,5384141
25-02-2020;103,5609535
26-02-2020;103,5834829
27-02-2020;103,6059522
28-02-2020;103,6284116
29-02-2020;103,6488801
01-03-2020;103,6712094
02-03-2020;103,6939189
03-03-2020;103,7145075
04-03-2020;103,7368568
05-03-2020;103,7591761
06-03-2020;103,7813553
07-03-2020;103,8035245
08-03-2020;103,8257038
09-03-2020;103,8482632
10-03-2020;103,8703924
11-03-2020;103,8925316
12-03-2020;103,9140906
13-03-2020;103,9356296
14-03-2020;103,9570385
15-03-2020;103,9784074
16-03-2020;103,9995462
17-03-2020;104,0210652
18-03-2020;104,0425241
19-03-2020;104,0639731
20-03-2020;104,085412
21-03-2020;104,1066508
22-03-2020;104,1278897
23-03-2020;104,1486883
24-03-2020;104,1706175
25-03-2020;104,1925166
26-03-2020;104,2144157
27-03-2020;104,2361048
28-03-2020;104,2577638
29-03-2020;104,2789726
30-03-2020;104,2994411
31-03-2020;104,3200197
01-04-2020;104,3380272
02-04-2020;104,3577054
03-04-2020;104,3832261
04-04-2020;104,4057654
05-04-2020;104,4282948
06-04-2020;104,4508442
07-04-2020;104,4733836
08-04-2020;104,495923
09-04-2020;104,5184724
10-04-2020;104,5410418
11-04-2020;104,5636512
12-04-2020;104,5876712
13-04-2020;104,6084599
14-04-2020;104,6267875
15-04-2020;104,6490668
16-04-2020;104,6681648
17-04-2020;104,6839713
18-04-2020;104,7051502
19-04-2020;104,726319
20-04-2020;104,7465874
21-04-2020;104,7683365
22-04-2020;104,2302023
23-04-2020;104,2484299
24-04-2020;104,2680081
25-04-2020;104,2875962
26-04-2020;104,3117463
27-04-2020;104,3355962
28-04-2020;104,3550743
29-04-2020;104,3728617
30-04-2020;104,3914395
01-05-2020;104,4109576
02-05-2020;104,4307659
03-05-2020;104,4500439
04-05-2020;104,4794161
05-05-2020;104,4987542
06-05-2020;104,5159113
07-05-2020;104,5339989
08-05-2020;104,6116412
09-05-2020;104,6403632
10-05-2020;104,6650735
11-05-2020;104,6781189
12-05-2020;104,6959263
13-05-2020;104,7137437
14-05-2020;104,7315412
15-05-2020;104,7495387
16-05-2020;104,767276
17-05-2020;104,7850134
18-05-2020;104,743086
19-05-2020;104,7594028
20-05-2020;104,7770601
21-05-2020;104,7946975
22-05-2020;104,8123548
23-05-2020;104,8299922
24-05-2020;104,8476595
25-05-2020;104,8653169
26-05-2020;104,8829242
27-05-2020;104,9033928
28-05-2020;104,9210001
29-05-2020;104,9382073
30-05-2020;104,9556645
31-05-2020;104,9731018
01-06-2020;104,9905991
02-06-2020;105,0067858
03-06-2020;105,0846583
04-06-2020;104,6541989
05-06-2020;104,671096
06-06-2020;104,688003
07-06-2020;104,7049001
08-06-2020;104,7129334
09-06-2020;104,7295103
10-06-2020;104,7477979
11-06-2020;104,764855
12-06-2020;104,7741189
13-06-2020;104,7910159
14-06-2020;104,807903
15-06-2020;104,8297421
16-06-2020;104,8466391
17-06-2020;104,8647066
18-06-2020;104,8834945
19-06-2020;104,5607
20-06-2020;104,5782973
21-06-2020;104,5958846
22-06-2020;104,613492
23-06-2020;104,6310893
24-06-2020;104,6487567
25-06-2020;104,666414
26-06-2020;104,6840514
27-06-2020;104,7027992
28-06-2020;104,721487
29-06-2020;104,7260589
30-06-2020;104,7486983
01-07-2020;104,5451335
02-07-2020;104,5668726
03-07-2020;104,5260456
04-07-2020;104,5455637
05-07-2020;104,5650818
06-07-2020;105,0564665
07-07-2020;105,0745341
08-07-2020;105,0925916
09-07-2020;105,1106591
10-07-2020;105,1304674
11-07-2020;105,1489851
12-07-2020;105,1673527
13-07-2020;105,1857504
14-07-2020;105,204128
15-07-2020;105,2226958
16-07-2020;105,2410234
17-07-2020;105,2980972
18-07-2020;105,316845
19-07-2020;105,3348225
20-07-2020;105,35283
21-07-2020;105,3708075
22-07-2020;105,388795
23-07-2020;105,4067725
24-07-2020;105,4143556
25-07-2020;105,4308125
26-07-2020;105,4474894
27-07-2020;105,4674477
28-07-2020;105,4874461
29-07-2020;105,5058337
30-07-2020;105,5220705
31-07-2020;105,5142772
01-08-2020;105,5303039
02-08-2020;105,5463306
03-08-2020;105,5623873
04-08-2020;105,5777537
05-08-2020;105,6003231
06-08-2020;105,6152393
07-08-2020;105,6300855
08-08-2020;105,6449117
09-08-2020;105,6597479
10-08-2020;105,6882097
11-08-2020;105,7030359
12-08-2020;105,717742
13-08-2020;105,7319279
14-08-2020;105,6897503
15-08-2020;105,7041163
16-08-2020;105,7182722
17-08-2020;105,7677929
18-08-2020;105,7823789
19-08-2020;105,7962747
20-08-2020;105,8097503
21-08-2020;105,8236361
22-08-2020;105,8374519
23-08-2020;105,8512676
24-08-2020;105,866434
25-08-2020;105,8802997
26-08-2020;105,8913443
27-08-2020;105,8823306
28-08-2020;105,8898837
29-08-2020;105,8985473
30-08-2020;105,9114927
31-08-2020;105,9418454
01-09-2020;105,9557212
02-09-2020;105,9666557
03-09-2020;105,9670659
04-09-2020;105,9809317
05-09-2020;105,9947874
06-09-2020;106,0086432
07-09-2020;106,022529
08-09-2020;106,0363948
09-09-2020;106,0502505
10-09-2020;106,0623756
11-09-2020;106,0651367
12-09-2020;106,0702389
13-09-2020;106,0855652
14-09-2020;106,1009016
15-09-2020;106,1164281
16-09-2020;106,1321346
17-09-2020;106,1823156
18-09-2020;106,2033243
19-09-2020;106,2187807
20-09-2020;106,2342272
21-09-2020;106,2508841
22-09-2020;106,257797
23-09-2020;106,2731234
24-09-2020;106,3041663
25-09-2020;106,2999646
26-09-2020;106,3128699
27-09-2020;106,3314577
28-09-2020;106,3501055
29-09-2020;106,363521
30-09-2020;106,3650917
01-10-2020;106,4063189
02-10-2020;106,4236761
03-10-2020;106,4406132
04-10-2020;106,4575502
05-10-2020;106,4745173
06-10-2020;106,4914643
07-10-2020;106,5084014
08-10-2020;106,5253485
09-10-2020;106,5422955
10-10-2020;106,5653851
11-10-2020;106,5823722
12-10-2020;106,5994393
13-10-2020;106,6162963
14-10-2020;106,6330933
15-10-2020;106,6566231
16-10-2020;106,6780721
17-10-2020;106,7613068
18-10-2020;106,7803947
19-10-2020;106,7672592
20-10-2020;106,7816953
21-10-2020;106,8529449
22-10-2020;106,8691817
23-10-2020;106,7489416
24-10-2020;106,7814752
25-10-2020;106,7984822
26-10-2020;106,8620287
27-10-2020;106,8920512
28-10-2020;106,9121096
29-10-2020;106,9355994
30-10-2020;106,9431325
31-10-2020;107,0004364
01-11-2020;107,016273
02-11-2020;107,0408932
03-11-2020;107,0574301
04-11-2020;107,0734068
05-11-2020;107,0892334
06-11-2020;107,0960962
07-11-2020;107,1130033
08-11-2020;107,1299203
09-11-2020;107,1468274
10-11-2020;107,1649549
11-11-2020;107,184243
12-11-2020;107,7353826
13-11-2020;107,7495685
14-11-2020;107,7665555
15-11-2020;107,7835326
16-11-2020;107,8004397
17-11-2020;107,8159961
18-11-2020;107,8338436
19-11-2020;107,8505305
20-11-2020;107,8500203
21-11-2020;107,8678477
22-11-2020;107,8856752
23-11-2020;107,9035026
24-11-2020;107,92132
25-11-2020;107,9394876
26-11-2020;107,9550541
27-11-2020;107,952363
28-11-2020;107,9670091
29-11-2020;107,9831158
30-11-2020;108,0025239
01-12-2020;108,0194609
02-12-2020;108,0362979
03-12-2020;108,0531249
04-12-2020;108,0702921
05-12-2020;108,0872191
06-12-2020;108,1041462
07-12-2020;108,1210332
08-12-2020;108,1378402
09-12-2020;108,1546472
10-12-2020;108,173265
11-12-2020;108,1917827
12-12-2020;108,2104005
13-12-2020;108,2290082
14-12-2020;108,2474559
15-12-2020;108,2661437
16-12-2020;108,2846314
17-12-2020;108,3019286
18-12-2020;108,3214167
19-12-2020;108,3399244
20-12-2020;108,3584221
21-12-2020;108,3741787
22-12-2020;108,3922862
23-12-2020;108,4104038
24-12-2020;108,4285113
25-12-2020;108,446849
26-12-2020;108,4626956
27-12-2020;108,4808131
28-12-2020;108,4991608
29-12-2020;108,5185488
30-12-2020;108,5268823
31-12-2020;108,5158777
01-01-2021;108,533255
02-01-2021;108,5507522
03-01-2021;108,5682595
04-01-2021;108,5855968
05-01-2021;108,603014
06-01-2021;108,6204313
07-01-2021;108,6379486
08-01-2021;108,648623
09-01-2021;108,6664705
10-01-2021;108,6843079
11-01-2021;108,7019652
12-01-2021;108,7196826
13-01-2021;108,73747
14-01-2021;108,7549873
15-01-2021;108,7728448
16-01-2021;108,7904021
17-01-2021;108,8074592
18-01-2021;108,8248064
19-01-2021;108,8413533
20-01-2021;108,8583004
21-01-2021;108,8752274
22-01-2021;108,8923245
23-01-2021;108,9089014
24-01-2021;108,9258185
25-01-2021;108,9716076
26-01-2021;108,9861736
27-01-2021;109,0034108
28-01-2021;109,0226788
29-01-2021;109,0321328
30-01-2021;109,0504304
31-01-2021;109,0677176
01-02-2021;109,0868156
02-02-2021;109,1049831
03-02-2021;109,1236909
04-02-2021;109,1418585
05-02-2021;109,1605163
06-02-2021;109,1787239
07-02-2021;109,1965013
08-02-2021;109,215059
09-02-2021;109,2331365
10-02-2021;109,2514041
11-02-2021;109,2697018
12-02-2021;109,2880694
13-02-2021;109,3065171
14-02-2021;109,3249748
15-02-2021;109,3433324
16-02-2021;109,3617501
17-02-2021;109,3801978
18-02-2021;109,3986655
19-02-2021;109,4147222
20-02-2021;109,4350306
21-02-2021;109,4553291
22-02-2021;109,4759977
23-02-2021;109,4955859
24-02-2021;109,5165446
25-02-2021;109,5372932
26-02-2021;109,5558009
27-02-2021;109,5769097
28-02-2021;109,599079
01-03-2021;109,6211382
02-03-2021;109,6414066
03-03-2021;109,6621753
04-03-2021;109,6826338
05-03-2021;109,7030423
06-03-2021;109,723951
07-03-2021;109,7442194
08-03-2021;109,7641177
09-03-2021;109,7843262
10-03-2021;109,8043145
11-03-2021;109,8242628
12-03-2021;109,8454516
13-03-2021;109,8651798
14-03-2021;109,8849081
15-03-2021;109,9075175
16-03-2021;109,9270456
17-03-2021;109,9463937
18-03-2021;109,9634008
19-03-2021;109,9821186
20-03-2021;110,0008764
21-03-2021;110,0208647
22-03-2021;110,0415233
23-03-2021;110,0606313
24-03-2021;110,0799893
25-03-2021;110,083971
26-03-2021;110,1038793
27-03-2021;110,122457
28-03-2021;110,1423453
29-03-2021;110,1636742
30-03-2021;110,1832323
31-03-2021;110,1947771
01-04-2021;110,2156658
02-04-2021;110,2364645
03-04-2021;110,2573732
04-04-2021;110,2782819
05-04-2021;110,2989706
06-04-2021;110,3201994
07-04-2021;110,3421485
08-04-2021;110,3629172
09-04-2021;110,3808847
10-04-2021;110,4007429
11-04-2021;110,4206012
12-04-2021;110,4398592
13-04-2021;110,4596675
14-04-2021;110,4897
15-04-2021;110,5087579
16-04-2021;110,5249347
17-04-2021;110,5439626
18-04-2021;110,5629105
19-04-2021;110,5882611
20-04-2021;110,607259
21-04-2021;110,6269772
22-04-2021;110,6381418
23-04-2021;110,6592907
24-04-2021;110,6783786
25-04-2021;110,6981769
26-04-2021;110,7149939
27-04-2021;110,7348721
28-04-2021;110,7551406
29-04-2021;110,7743286
30-04-2021;110,7956175
01-05-2021;110,8149155
02-05-2021;110,8349438
03-05-2021;110,8724495
04-05-2021;110,8926479
05-05-2021;110,9130664
06-05-2021;110,9332648
07-05-2021;110,9538934
08-05-2021;110,9740418
09-05-2021;110,9943302
10-05-2021;111,0133382
11-05-2021;111,0333865
12-05-2021;111,0533048
13-05-2021;111,0746637
14-05-2021;111,0749238
15-05-2021;111,0948121
16-05-2021;111,1147004
17-05-2021;111,1345186
18-05-2021;111,1544169
19-05-2021;111,1752156
20-05-2021;111,2115007
21-05-2021;111,2329096
22-05-2021;111,2550789
23-05-2021;111,2760976
24-05-2021;111,3090013
25-05-2021;111,3302202
26-05-2021;111,4308621
27-05-2021;111,4511706
28-05-2021;111,4645461
29-05-2021;107,8040312
30-05-2021;107,8241996
31-05-2021;107,8317527
01-06-2021;107,8477294
02-06-2021;107,8452283
03-06-2021;107,8699686
04-06-2021;107,887546
05-06-2021;107,9048732
06-06-2021;107,9221904
07-06-2021;107,9399178
08-06-2021;107,9564347
09-06-2021;107,9738719
10-06-2021;107,9912291
11-06-2021;108,0085764
12-06-2021;108,0259336
13-06-2021;108,0433008
14-06-2021;108,0606581
15-06-2021;108,0792558
16-06-2021;108,0966331
17-06-2021;108,1139803
18-06-2021;108,1211033
19-06-2021;108,1383905
20-06-2021;108,1556777
21-06-2021;108,1764063
22-06-2021;108,1933934
23-06-2021;108,2104005
24-06-2021;108,2279478
25-06-2021;108,2458652
26-06-2021;108,2610816
27-06-2021;108,2779986
28-06-2021;108,2935951
29-06-2021;108,3059403
30-06-2021;108,3479878
01-07-2021;108,3666355
02-07-2021;108,3852433
03-07-2021;108,403801
04-07-2021;108,4223488
05-07-2021;108,4409065
06-07-2021;108,4594642
07-07-2021;108,4783621
08-07-2021;108,494849
09-07-2021;108,5133567
10-07-2021;108,5320044
11-07-2021;108,5506422
12-07-2021;108,5692299
13-07-2021;108,5878277
14-07-2021;108,6064154
15-07-2021;108,6249732
16-07-2021;108,6435409
17-07-2021;108,6620486
18-07-2021;108,6802762
19-07-2021;108,6996143
20-07-2021;108,7197226
21-07-2021;108,7388106
22-07-2021;108,7578385
23-07-2021;108,7723646
24-07-2021;108,790312
25-07-2021;108,8084296
26-07-2021;108,8254267
27-07-2021;108,8433141
28-07-2021;108,8596809
29-07-2021;108,8769381
30-07-2021;108,8944254
31-07-2021;108,8985271
01-08-2021;108,9172849
02-08-2021;108,9316009
03-08-2021;108,9503187
04-08-2021;108,9689865
05-08-2021;108,9876543
06-08-2021;109,006312
07-08-2021;109,02533
08-08-2021;109,0439777
09-08-2021;109,0619152
10-08-2021;109,0802128
11-08-2021;109,0985505
12-08-2021;109,1168481
13-08-2021;109,1351257
14-08-2021;109,1533933
15-08-2021;109,1716509
16-08-2021;109,1898985
17-08-2021;109,2093766
18-08-2021;109,2283145
19-08-2021;109,246192
20-08-2021;109,26547
21-08-2021;109,284608
22-08-2021;109,3040461
23-08-2021;109,3213433
24-08-2021;109,339891
25-08-2021;109,3584187
26-08-2021;109,3742653
27-08-2021;109,4025171
28-08-2021;109,4231857
29-08-2021;109,4445346
30-08-2021;109,4637226
31-08-2021;109,467044
01-09-2021;109,4842111
02-09-2021;109,4977167
03-09-2021;109,5088814
04-09-2021;109,5269789
05-09-2021;109,5448664
